,cum_pnl,max_pnl,drawdown
10/15/2001,174724258.6,176094681.8,1370423.27
10/19/2001,174704486.1,176094681.8,1390195.77
11/7/2001,182395436.1,182395436.1,0
11/9/2001,182589656.1,182589656.1,0
11/12/2001,182354696.1,182589656.1,234960
11/14/2001,185669418.7,185669418.7,0
11/15/2001,188890911.3,188890911.3,0
11/16/2001,192379121.3,192379121.3,0
11/29/2001,191903321.3,192379121.3,475800
11/30/2001,191490986.3,192379121.3,888135
12/3/2001,192327986.3,192379121.3,51135
12/10/2001,195277691.3,195277691.3,0
12/18/2001,195657380.3,195657380.3,0
12/19/2001,196104647.5,196104647.5,0
12/26/2001,196903937.5,196903937.5,0
1/2/2002,196145267.5,196903937.5,758670
1/9/2002,195877605,196903937.5,1026332.5
1/22/2002,195312625,196903937.5,1591312.5
1/24/2002,195193392.5,196903937.5,1710545
1/28/2002,194482442.5,196903937.5,2421495
1/29/2002,192959367.5,196903937.5,3944570
1/30/2002,192072327.5,196903937.5,4831610
2/5/2002,191514112.6,196903937.5,5389824.917
2/11/2002,191008862.6,196903937.5,5895074.917
2/19/2002,190793552.6,196903937.5,6110384.917
3/4/2002,190278654.1,196903937.5,6625283.329
3/6/2002,191244654.1,196903937.5,5659283.329
3/7/2002,189889374.1,196903937.5,7014563.329
3/18/2002,189288511.4,196903937.5,7615426.109
3/27/2002,187845161.9,196903937.5,9058775.566
4/4/2002,187300051.9,196903937.5,9603885.566
4/8/2002,187175322.8,196903937.5,9728614.646
4/10/2002,187052880.3,196903937.5,9851057.146
4/11/2002,186815576.6,196903937.5,10088360.9
4/12/2002,186328174.7,196903937.5,10575762.78
4/15/2002,185226684.5,196903937.5,11677253.01
4/26/2002,184900249.2,196903937.5,12003688.26
4/30/2002,185680249.2,196903937.5,11223688.26
5/13/2002,185910059.2,196903937.5,10993878.26
5/14/2002,185918849.2,196903937.5,10985088.26
5/15/2002,185744264.2,196903937.5,11159673.26
5/16/2002,185583014.2,196903937.5,11320923.26
5/24/2002,186257894.2,196903937.5,10646043.26
5/28/2002,184557771,196903937.5,12346166.46
5/29/2002,183899592.8,196903937.5,13004344.72
6/6/2002,183306370.6,196903937.5,13597566.91
6/13/2002,183491960.6,196903937.5,13411976.91
6/14/2002,185292890.6,196903937.5,11611046.91
6/17/2002,186105410.6,196903937.5,10798526.91
6/20/2002,186258455.6,196903937.5,10645481.91
6/21/2002,185606945.6,196903937.5,11296991.91
6/24/2002,185003139.6,196903937.5,11900797.91
6/27/2002,184289139.6,196903937.5,12614797.91
6/28/2002,184471859.6,196903937.5,12432077.91
7/15/2002,183156109.6,196903937.5,13747827.91
7/23/2002,185791504.6,196903937.5,11112432.91
7/26/2002,187970127.1,196903937.5,8933810.411
7/29/2002,193579955.4,196903937.5,3323982.035
7/31/2002,196002673.3,196903937.5,901264.1809
8/5/2002,195263173.3,196903937.5,1640764.181
8/6/2002,198061738.3,198061738.3,0
8/15/2002,197471698.3,198061738.3,590040
8/16/2002,201484837.7,201484837.7,0
8/19/2002,203483250.3,203483250.3,0
8/20/2002,203178948.3,203483250.3,304301.9186
8/22/2002,205008739.8,205008739.8,0
8/26/2002,205065539.8,205065539.8,0
9/10/2002,203579818,205065539.8,1485721.819
9/13/2002,205187008,205187008,0
9/18/2002,205672673,205672673,0
9/30/2002,205299513,205672673,373160
10/4/2002,205104512.4,205672673,568160.6507
10/11/2002,211367424.9,211367424.9,0
10/15/2002,215089578.1,215089578.1,0
10/17/2002,218011195.4,218011195.4,0
10/21/2002,217853275.4,218011195.4,157920
10/25/2002,217969745.8,218011195.4,41449.6
